"Add to Wish List", "Adicionar à lista de comparação"
"Add to Compare", "Adicionar para comparação"
"Your Checkout Progress", "Seu processo de Checkout"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","Itens %1-%2 de %3"
"Regular Price", "Preço regular"
"Remove item", "Remover item"
"View Order", "Ver Pedido"
"Update Shopping Cart", "Atualizar Carrinho"
"Move to Wish List","Mover para lista de comparação"
"Copy to Wish List","Copiar para lista de comparação"
"Move Selected to Wish List", "Mover seleção para lista de comparação"
"Copy Selected to Wish List", "Copiar seleção para lista de comparação"
"%1 items in wish list", "%1 itens na lista de comparação"
"1 item in wish list", "1 item na lista de comparação"
"Continue to Shipping Information", "Continuar para Informação de Entrega"
